"","name","hits","H_deviation"
"1","Kurt Abbott","Right",1.6
"2","Bobby Abreu","Left",-7.6
"3","Edgardo Alfonzo","Right",-1.7
"4","Luis Alicea","Both",1.4
"5","Moises Alou","Right",-1.8
"6","Rich Amaral","Right",5.4
"7","Ruben Amaro","Both",-0.93
"8","Alex Arias","Right",-1.3
"9","Rolando Arrojo","Right",0
"10","Andy Ashby","Right",0.56
"11","Steve Avery","Left",1
"12","Carlos Baerga","Both",-1.4
"13","Jeff Bagwell","Right",-1.9
"14","Rod Beck","Right",0
"15","Matt Beech","Left",-0.45
"16","Tim Belcher","Right",-0.4
"17","Albert Belle","Right",-0.12
"18","Rafael Belliard","Right",1
"19","Jason Bere","Right",0
"20","Craig Biggio","Right",1.4
"21","Brian Bohanon","Left",0.65
"22","Barry Bonds","Left",1.3
"23","Bobby Bonilla","Both",-0.23
"24","Bret Boone","Right",-1.6
"25","Kent Bottenfield","Right",-0.26
"26","Rico Brogna","Left",-4.9
"27","Kevin Brown","Right",-1.5
"28","Dave Burba","Right",-0.5
"29","Jeromy Burnitz","Left",-1.4
"30","Homer Bush","Right",-4.6
"31","Paul Byrd","Right",-0.17
"32","Mike Cameron","Right",0.48
"33","Ken Caminiti","Both",6.4
"34","Jose Canseco","Right",-0.97
"35","Raul Casanova","Both",0.14
"36","Juan Castro","Right",-1.2
"37","Roger Cedeno","Both",0.86
"38","Jeff Cirillo","Right",2.4
"39","Will Clark","Left",0.47
"40","Roger Clemens","Right",1
"41","Bartolo Colon","Right",-3
"42","Jeff Conine","Right",-0.81
"43","Omar Daal","Left",-0.76
"44","Danny Darwin","Right",-0.089
"45","Chili Davis","Both",1.8
"46","Rob Ducey","Left",0.52
"47","Ray Durham","Both",-3.1
"48","Jim Edmonds","Left",2.3
"49","Juan Encarnacion","Right",-0.61
"50","Scott Erickson","Right",1
"51","Darin Erstad","Left",-1.9
"52","Bobby Estalella","Right",0.49
"53","Cecil Fielder","Right",0.67
"54","Travis Fryman","Right",-3.5
"55","Gary Gaetti","Right",-2.5
"56","Andres Galarraga","Right",5.2
"57","Ron Gant","Right",-0.21
"58","Nomar Garciaparra","Right",0.15
"59","Jason Giambi","Left",0.64
"60","Bernard Gilkey","Right",-0.7
"61","Joe Girardi","Right",0.76
"62","Doug Glanville","Right",-2.2
"63","Tom Glavine","Left",-0.63
"64","Juan Gonzalez","Right",-2.2
"65","Mike Grace","Right",-0.087
"66","Shawn Green","Left",-2.3
"67","Tyler Green","Right",-0.29
"68","Ken Griffey Jr.","Left",-3.4
"69","Marquis Grissom","Right",0.69
"70","Vladimir Guerrero","Right",-2.4
"71","Jeffrey Hammonds","Right",-2.1
"72","Todd Helton","Left",-1.6
"73","Rickey Henderson","Right",2
"74","Orel Hershiser","Right",1.2
"75","Gregg Jefferies","Both",2.4
"76","Derek Jeter","Right",-4.1
"77","Andruw Jones","Right",-1.3
"78","Chipper Jones","Both",-6
"79","Kevin Jordan","Right",-0.73
"80","David Justice","Left",-1.1
"81","Eric Karros","Right",1.6
"82","Jason Kendall","Right",-0.41
"83","Jeff Kent","Right",-1.2
"84","Darryl Kile","Right",-0.76
"85","Ryan Klesko","Left",-2.2
"86","Chuck Knoblauch","Right",-1.1
"87","Randy Knorr","Right",2.5
"88","Mark Langston","Right",-0.17
"89","Ray Lankford","Left",3.9
"90","Mike Lansing","Right",0.9
"91","Barry Larkin","Right",-4.9
"92","Aaron Ledesma","Right",1.8
"93","Mark Lewis","Right",-5.2
"94","Jim Leyritz","Right",-0.44
"95","Mike Lieberthal","Right",-1.2
"96","Carlton Loewer","Right",-0.086
"97","Kenny Lofton","Left",0.82
"98","Javy Lopez","Right",-1.7
"99","Matt Luke","Left",-0.47
"100","John Mabry","Left",-1.7
"101","Greg Maddux","Right",-1.4
"102","Wendell Magee","Right",-0.16
"103","Pedro Martinez","Right",0
"104","Ramon Martinez","Left",-0.88
"105","Mark McGwire","Right",1.8
"106","Mark McLemore","Both",-1.4
"107","Paul Molitor","Right",-1.1
"108","Raul Mondesi","Right",-0.8
"109","Mickey Morandini","Left",1.2
"110","Mike Mussina","Left",0
"111","Robb Nen","Right",0
"112","Otis Nixon","Both",-0.61
"113","Hideo Nomo","Right",-0.26
"114","Jon Nunnally","Left",-1.4
"115","Jose Offerman","Both",-0.18
"116","Gregg Olson","Right",0.5
"117","Rafael Palmeiro","Left",-1.3
"118","Mark Parent","Right",-0.65
"119","Chan Ho Park","Right",-1.6
"120","Eduardo Perez","Right",-1.2
"121","Andy Pettitte","Left",0
"122","Mike Piazza","Right",-1.6
"123","Mark Portugal","Right",1.4
"124","Jorge Posada","Both",2.9
"125","Todd Pratt","Right",1.9
"126","Tom Prince","Right",-0.37
"127","Manny Ramirez","Right",-0.0035
"128","Desi Relaford","Both",-1
"129","Edgar Renteria","Right",-5
"130","Armando Reynoso","Right",0.33
"131","Arthur Rhodes","Left",-0.5
"132","Cal Ripken Jr.","Right",-1.3
"133","Bip Roberts","Both",-1.4
"134","Alex Rodriguez","Right",2.2
"135","Ivan Rodriguez","Right",0.9
"136","Kenny Rogers","Left",0
"137","Scott Rolen","Right",-4.5
"138","Reggie Sanders","Right",-0.8
"139","Tony Saunders","Left",-2
"140","Curt Schilling","Right",-0.45
"141","Kevin Sefcik","Right",1.7
"142","Aaron Sele","Right",1.5
"143","Scott Servais","Right",-2.7
"144","Richie Sexson","Right",-3.6
"145","Jeff Shaw","Right",0
"146","Ruben Sierra","Both",0.32
"147","Mike Simms","Right",2.2
"148","Mike Sirotka","Left",1
"149","Sammy Sosa","Right",5
"150","Shane Spencer","Right",2.7
"151","Scott Spiezio","Both",0.93
"152","Jerry Spradlin","Both",-7
"153","Matt Stairs","Left",-0.96
"154","Terry Steinbach","Right",0.68
"155","Kevin Stocker","Both",-0.38
"156","Todd Stottlemyre","Left",-2.3
"157","Fernando Tatis","Right",-2.4
"158","Frank Thomas","Right",-0.094
"159","Michael Tucker","Left",-0.95
"160","Robin Ventura","Left",-2.8
"161","Quilvio Veras","Both",-2.5
"162","Fernando Vina","Left",-4.6
"163","Omar Vizquel","Both",0.44
"164","Tim Wakefield","Right",0
"165","Larry Walker","Left",-0.99
"166","Pat Watkins","Right",-0.27
"167","Walt Weiss","Both",-0.5
"168","Chris Widger","Right",-0.4
"169","Craig Wilson","Right",-1.6
"170","Bobby Witt","Right",0.27
"171","Kerry Wood","Right",0.61
"172","Masato Yoshii","Right",-0.25
"173","Gregg Zaun","Both",-0.26
"174","Todd Zeile","Right",-1.4
"175","Jon Zuber","Left",1.9
